,title,guid,link,description,year_month
23824,Liverpool v Everton: Jurgen Klopp 'couldn't be less interested' in derby record,https://www.bbc.co.uk/sport/football/67168456,https://www.bbc.co.uk/sport/football/67168456?at_medium=RSS&at_campaign=KARANGA,Liverpool boss Jurgen Klopp says his excellent record in the Merseyside derby will count for nothing on Saturday.,2023-10
32398,Bruises and broken ribs – Palestinian deaths in Israeli prisons,https://www.bbc.co.uk/news/world-middle-east-68780112#2,https://www.bbc.co.uk/news/world-middle-east-68780112,The prison service did not directly address reports 13 prisoners had died since last October.,2024-04
27432,Jadon Sancho: Manchester United winger might rejoin Borussia Dortmund on loan,https://www.bbc.co.uk/sport/football/67866001,https://www.bbc.co.uk/sport/football/67866001?at_medium=RSS&at_campaign=KARANGA,Manchester United outcast Jadon Sancho might kickstart his career with a January loan move to former club Borussia Dortmund.,2024-01
15623,The papers: 'Starmer backs attack ad' and 'coronation details',https://www.bbc.co.uk/news/blogs-the-papers-65228657,https://www.bbc.co.uk/news/blogs-the-papers-65228657?at_medium=RSS&at_campaign=KARANGA,"Monday's papers have a mix of leads, focusing on attack ads by Labour and details of next month's coronation.",2023-04
34827,Euro 2024: The nations' 26-man squads for Germany,https://www.bbc.com/sport/football/articles/cne9ekrdrgmo#3,https://www.bbc.com/sport/football/articles/cne9ekrdrgmo,All the final squads for Euro 2024 have now been named.,2024-06
8535,Unravelling the mystery of the unknown bairn,https://www.bbc.co.uk/news/uk-scotland-tayside-central-62961590,https://www.bbc.co.uk/news/uk-scotland-tayside-central-62961590?at_medium=RSS&at_campaign=KARANGA,How a podcast may have solved the mystery of a dead child washed up on a Fife beach in 1971.,2022-09
31792,Arizona court reinstates abortion ban law from 1864,https://www.bbc.co.uk/news/world-us-canada-68774959#0,https://www.bbc.co.uk/news/world-us-canada-68774959,Arizona's top court ruled that a strict 160-year-old ban on abortion may be enforced.,2024-04
22404,Warning petrol ban delay may hit electric car sales,https://www.bbc.co.uk/news/business-66863966,https://www.bbc.co.uk/news/business-66863966?at_medium=RSS&at_campaign=KARANGA,Car makers have raised concerns over the move to delay the ban on new petrol and diesel sales to 2035.,2023-09
4127,NI Protocol: UK override bill 'won't break international law',https://www.bbc.co.uk/news/uk-northern-ireland-61774429,https://www.bbc.co.uk/news/uk-northern-ireland-61774429?at_medium=RSS&at_campaign=KARANGA,The NI secretary says the bill and the government's legal advice will be published on Monday.,2022-06
13930,"Cesar Azpilicueta: Chelsea captain 'speaking' in hospital after head injury, says Graham Potter",https://www.bbc.co.uk/sport/football/64693389,https://www.bbc.co.uk/sport/football/64693389?at_medium=RSS&at_campaign=KARANGA,"Chelsea manager Graham Potter says captain Cesar Azpilicueta is ""speaking"" in hospital after suffering a head injury during Saturday's home defeat by Southampton.",2023-02
35942,The seats won by fewer than 100 votes,https://www.bbc.com/news/articles/cz9x7dz79qyo#12,https://www.bbc.com/news/articles/cz9x7dz79qyo,The seats won by the smallest majorities at the 2024 general election.,2024-07
5350,Euro 2022: Pernille Harder scores as Denmark beat Finland to keep hopes of progress alive,https://www.bbc.co.uk/sport/football/62125687,https://www.bbc.co.uk/sport/football/62125687?at_medium=RSS&at_campaign=KARANGA,Pernille Harder's second-half goal ensures Denmark keep their hopes of progressing from Group B alive as they beat a determined Finland at Euro 2022.,2022-07
5958,Euro 2022: How England have evolved under Sarina Wiegman,https://www.bbc.co.uk/sport/football/62313474,https://www.bbc.co.uk/sport/football/62313474?at_medium=RSS&at_campaign=KARANGA,Even Sarina Wiegman is surprised by how successful her tenure has been so far with England - so how much has she transformed the Euro 2022 finalists in 10 months?,2022-07
36859,'A moment of magic!' - Rodman & Caldentey star in goals of the day,https://www.bbc.com/sport/football/videos/c2x02x2gknyo#9,https://www.bbc.com/sport/football/videos/c2x02x2gknyo,Watch the best goals from the opening games of the women's football competition at the Paris 2024 Olympics.,2024-07
36155,Stars to return for first Shrek film for 16 years,https://www.bbc.com/news/articles/cd19042edxlo#3,https://www.bbc.com/news/articles/cd19042edxlo,"Mike Myers, Eddie Murphy and Cameron Diaz will be back for Shrek 5, which will be released in 2026.",2024-07
1025,UK elections 2022: A really simple guide,https://www.bbc.co.uk/news/uk-politics-60304595,https://www.bbc.co.uk/news/uk-politics-60304595?at_medium=RSS&at_campaign=KARANGA,"Local elections in England, Wales and Scotland, and a general election in Northern Ireland, will happen on 5 May.",2022-03
4389,Diamond League: Shelly-Ann Fraser-Pryce runs world-leading 100m time in Paris,https://www.bbc.co.uk/sport/av/athletics/61854282,https://www.bbc.co.uk/sport/av/athletics/61854282?at_medium=RSS&at_campaign=KARANGA,"Watch as Shelly-Ann Fraser-Pryce wins the 100m with a world-leading time for 2022 of 10.66 seconds, while GB's Daryll Neita finishes second in 10.99.",2022-06
6927,First Native American woman to travel to space,https://www.bbc.co.uk/news/science-environment-62581401,https://www.bbc.co.uk/news/science-environment-62581401?at_medium=RSS&at_campaign=KARANGA,Nasa astronaut Nicole Aunapu Mann will travel to the International Space Station in September.,2022-08
30055,Born on 29 February: ‘Being a leapling feels special’,https://www.bbc.co.uk/news/uk-68404617,https://www.bbc.co.uk/news/uk-68404617,Four people born on 29 February share their experiences of having a birthday on this very elusive day.,2024-02
32721,"Police should probe hacking 'cover up', says ex-PM Gordon Brown",https://www.bbc.co.uk/news/uk-68937032#0,https://www.bbc.co.uk/news/uk-68937032,Gordon Brown believes his phone may have been hacked while he was PM and is considering legal action.,2024-05
9443,Steve Bannon: Ex-Trump aide jailed for contempt of Congress,https://www.bbc.co.uk/news/world-us-canada-63332078,https://www.bbc.co.uk/news/world-us-canada-63332078?at_medium=RSS&at_campaign=KARANGA,The key Trump ally refused to co-operate with a probe looking into the 6 January 2021 Capitol riot.,2022-10
